TYPE,CATEGORY,TEXT,HEAD_WIFE,VAR_COUNT,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1999,Y2001,Y2003,Y2005,Y2007,Y2009,Y2011,Y2013,Y2015,Y2017,Y2019
INDIVIDUAL,CHILDREN,"01>CHILDREN:
02>Birth Dates
03>first/only
04>month:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32023
INDIVIDUAL,CHILDREN,"01>CHILDREN:
02>Birth Dates
03>first/only
04>year:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32024
INDIVIDUAL,CHILDREN,"01>CHILDREN:
02>Birth Dates
03>last
04>month:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32025
INDIVIDUAL,CHILDREN,"01>CHILDREN:
02>Birth Dates
03>last
04>year:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32026
INDIVIDUAL,CHILDREN,"01>CHILDREN:
02>Birth Dates
03>last minus one
04>month:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32027
INDIVIDUAL,CHILDREN,"01>CHILDREN:
02>Birth Dates
03>last minus one
04>year:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32028
INDIVIDUAL,CHILDREN,"01>CHILDREN:
02>Birth Dates
03>last minus three
04>month:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32031
INDIVIDUAL,CHILDREN,"01>CHILDREN:
02>Birth Dates
03>last minus three
04>year:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32032
INDIVIDUAL,CHILDREN,"01>CHILDREN:
02>Birth Dates
03>last minus two
04>month:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32029
INDIVIDUAL,CHILDREN,"01>CHILDREN:
02>Birth Dates
03>last minus two
04>year:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32030
INDIVIDUAL,CHILDREN,"01>CHILDREN:
02>Pregnancy
03>most recent intention record
04>year:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32051
