Varcode,Variables,NewVarcode
ER30001,1968 INTERVIEW NUMBER,INTERVIEW NUMBER.68
V1,RELEASE NUMBER,RELEASE NUMBER.68
V3,FAMILY NUMBER,FAMILY NUMBER.68
V5,HOUSE VALUE,HOUSE VALUE.68
V10,YRLY RENT PAYTS,ANNUAL RENT PAYMENT.68
V12,YRLY RENT VALUE,ANNUAL RENT VALUE.68
V47,YRLY HEADS HRS,ANNUAL HOURS WORKED HEAD.68
V53,YRLY WIFE HRS,ANNUAL HOURS WORKED WIFE.68
V59,H& W HOUSEWORK,HOUSEHOLD HOUSEWORK HOURS.68
V73,LEISURE HRS/M.A.,LEISURE HOURS.68
V74,HDS LABOR INCOME,LABOR INCOME HEAD.68
V75,WIFE LBR INCOME,LABOR INCOME WIFE.68
V93,STATE (68),STATE.68
V103,OWN OR RENT,RENT/OWN STATUS.68
V117,AGE OF HEAD,AGE HEAD.68
V118,AGE OF WIFE,AGE WIFE.68
V119,SEX OF HEAD,SEX HEAD.68
V181,RACE,RACE.68
V197_A,OCCUPATION OF HEAD         68,OCCUPATION HEAD.68
V197_B,INDUSTRY   OF HEAD         68,INDUSTRY HEAD.68
V239,MARITAL STATUS,MARITAL STATUS.68
V243_A,OCCUPATION OF WIFE         68,OCCUPATION WIFE.68
V243_B,INDUSTRY   OF WIFE         68,INDUSTRY WIFE.68
V246,WIFES EDUCATION,EDUCATION WIFE.68
V261,ALIMONY,HOUSEHOLD ALIMONY BRACKET.68
V313,HEADS EDUCATION,EDUCATION HEAD.68
V314,HD OTHER TRAINING,OTHER TRAINING HEAD.68
V363,GEO. MOBILITY,MOBILITY.68
V398,NUMBER OF CHILDREN,CHILDREN COUNT.68
V439,1968 WEIGHT,FAMILY WEIGHT.68
ER30003,RELATIONSHIP TO HEAD                  68,RELATION TO HEAD.68
ER30004,AGE OF INDIVIDUAL                     68,AGE.68
ER30005,MARR PAIRS INDICATOR                  68,MARITAL PAIRS INDICATORS.68
ER30008,YEAR MOVED IN                         68,YEAR MOVED IN/OUT.68
ER30019,INDIVIDUAL WEIGHT                     68,INDIVIDUAL WEIGHT.68
V441,RELEASE NUMBER,RELEASE NUMBER.69
V442,1969 INT NUMBER,FAMILY NUMBER.69
V449,HOUSE VALUE,HOUSE VALUE.69
V455,ANNUAL RENT PYTS,ANNUAL RENT PAYMENT.69
V457,ANNUAL RENT VAL,ANNUAL RENT VALUE.69
V465,HRS HEAD WORKED,ANNUAL HOURS WORKED HEAD.69
V475,HRS WIFE WORKED,ANNUAL HOURS WORKED WIFE.69
V481,HRS HSWRK 1ST.,HOUSEWORK HOURS WIFE.69
V483,HRS.HSWK HUSBND,HOUSEWORK HOURS HEAD.69
V514,LABOR INC HEAD,LABOR INCOME HEAD.69
V516,LABOR INC WIFE,LABOR INCOME WIFE.69
V537,STATE NOW,STATE.69
V550,# CHILDRN IN FU,CHILDREN COUNT.69
V593,OWN OR RENT?,RENT/OWN STATUS.69
V603,MOVED SINCE SPRNG68,MOVED SINCE LAST YEAR.69
V607,MARITAL STATUS,MARITAL STATUS.69
V609_A,OCCUPATION OF WIFE         69,OCCUPATION WIFE.69
V609_B,INDUSTRY   OF WIFE         69,INDUSTRY WIFE.69
V640_A,OCCUPATION OF HEAD         69,OCCUPATION HEAD.69
V640_B,INDUSTRY   OF HEAD         69,INDUSTRY HEAD.69
V709,ALIMONY BKT,HOUSEHOLD ALIMONY BRACKET.69
V745,HEALTH LIM HSEWRK,DISABILITY LIMITING WORK.69
V794,EDUCATION OF HEAD,EDUCATION HEAD.69
V795,OTHR TRAINING HEAD,OTHER TRAINING HEAD.69
V801,RACE,RACE.69
V826,LEISURE COMP 68,LEISURE HOURS.69
V878,GEOGRAPHCL MOBILITY,MOBILITY.69
