State,"Unilateral
divorce","Equitable
distribution"
Alabama,1971,1984
Alaska,pre-1967,pre-1967
Arizona,1973,community property
Arkansas,no,1977
California,1970,community property
Colorado,1972,1972
Connecticut,1973,1973
Delaware,1968,pre-1967
District of Columbia,no,1977
Florida,1971,1980
Georgia,1973,1984
Hawaii,1972,pre-1967
Idaho,1971,community property
Illinois,no,1977
Indiana,1973,pre-1967
Iowa,1970,pre-1967
Kansas,1969,pre-1967
Kentucky,1972,1976
Louisiana,no,community property
Maine,1973,1972
Maryland,no,1978
Massachusetts,1975,1974
Michigan,1972,pre-1967
Minnesota,1974,pre-1967
Mississippi,no,1989
Missouri,no,1977
Montana,1973,1976
Nebraska,1972,1972
Nevada,1967,community property
New Hampshire,1971,1977
New Jersey,no,1974
New Mexico,pre-1967,community property
New York,no,1980
North Carolina,no,1981
North Dakota,1971,pre-1967
Ohio,1992,1981
Oklahoma,pre-1967,1975
Oregon,1971,1971
Pennsylvania,no,1980
Rhode Island,1975,1981
South Carolina,no,1985
South Dakota,1985,pre-1967
Tennessee,no,pre-1967
Texas,1970,community property
Utah,1987,pre-1967
Vermont,no,pre-1967
Virginia,no,1982
Washington,1973,community property
West Virginia,1984,1985
Wisconsin,1978,community property (1986)
Wyoming,1977,pre-1967
